#TYPE System.Management.Automation.PSCustomObject
"Name","Type","BluePath","GuestOS","IP","Path"
"UK1-NUTX-ESX-PROD01-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PROD01-MGT-Mgmt-dpg"
"UK1-NUTX-ESX-NON-DVUplinks-1031","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-NON-DVUplinks-1031"
"UK1-NUTX-ESX-Network-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-Network-MGT-vMotion-dpg"
"UK1-PQS-DB01-VLAN454-ISCSI_Storage-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-PQS-DB01-VLAN454-ISCSI_Storage-dPG"
"UK1-NUTX-ESX-PQS-PROD01-MGT-iSCSI-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-PROD01-MGT-iSCSI-dpg"
"UK1-NUTX-ESX-PRO-DVUplinks-1069","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PRO-DVUplinks-1069"
"UK1-NUTX-ESX-PQS-NONPROD01-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-NONPROD01-MGT-vMotion-dpg"
"UK1-NUTX-ESX-NONPROD01-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-NONPROD01-MGT-vMotion-dpg"
"UK1-NUTX-ESX-PROD01-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PROD01-MGT-vMotion-dpg"
"UK1-NUTX-ESX-PQS-DVUplinks-4682","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-DVUplinks-4682"
"UK1-PROD01-VLAN701-ISCSI_Storage-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-PROD01-VLAN701-ISCSI_Storage-dPG"
"UK1-NUTX-ESX-PQS-DVUplinks-4735","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-DVUplinks-4735"
"UK1-NUTX-ESX-PQS-PROD01-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-PROD01-MGT-Mgmt-dpg"
"UK1-PROD01-VLAN450-ISCSI_Storage-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-PROD01-VLAN450-ISCSI_Storage-dPG"
"UK1-NUTX-ESX-NONPROD01-MGT-Provisioning-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-NONPROD01-MGT-Provisioning-dpg"
"UK1-NUTX-ESX-PQS-SQL01-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-SQL01-MGT-vMotion-dpg"
"UK1-NUTX-ESX-NONPROD01-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-NONPROD01-MGT-Mgmt-dpg"
"UK1-NUTX-ESX-Network-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-Network-MGT-Mgmt-dpg"
"UK1-NONPROD01-VLAN451-ISCSI_Storage-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NONPROD01-VLAN451-ISCSI_Storage-dPG"
"UK1-NUTX-ESX-Net-DVUplinks-5553","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-Net-DVUplinks-5553"
"UK1-NUTX-ESX-PQS-SQL01-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-SQL01-MGT-Mgmt-dpg"
"UK1-NUTX-ESX-PQS-NONPROD01-MGT-Mgmt-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-NONPROD01-MGT-Mgmt-dpg"
"UK1-NUTX-ESX-PQS-DVUplinks-4792","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-DVUplinks-4792"
"UK1-NUTX-ESX-PROD01-MGT-Provisioning-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PROD01-MGT-Provisioning-dpg"
"UK1-NUTX-ESX-PQS-PROD01-MGT-vMotion-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-PROD01-MGT-vMotion-dpg"
"UK1-NUTX-ESX-PROD01-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PROD01-MGT-VDS"
"UK1-NUTX-ESX-NONPROD01-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-NONPROD01-MGT-VDS"
"UK1-NUTX-ESX-Network-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-Network-MGT-VDS"
"UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-SQL01-MGT-VDS"
"UK1-NUTX-ESX-PQS-NONPROD01-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-NONPROD01-MGT-VDS"
"UK1-NUTX-ESX-PQS-PROD01-MGT-VDS","VmwareDistributedVirtualSwitch","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-PROD01-MGT-VDS"
"Network VDS","Folder","","","","/UK1 DC/VM VDS/Network VDS"
"PQS VDS","Folder","","","","/UK1 DC/VM VDS/PQS VDS"
"MT VDS","Folder","","","","/UK1 DC/VM VDS/MT VDS"
"UK1-NONPROD01-VLAN3400-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3400-DB_Interconnect-dPG"
"UK1-NONPROD01-VLAN3331-BigIP_Core2-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3331-BigIP_Core2-dPG"
"UK1-PROD01-VLAN324-Dev_BIP_App_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN324-Dev_BIP_App_BE-dPG"
"UK1-PROD01-VLAN452-ISCSI_UKQUALS_PRD-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN452-ISCSI_UKQUALS_PRD-dPG"
"UK1-PROD01-VLAN3331-BigIP_Core2-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3331-BigIP_Core2-dPG"
"UK1-PROD01-VLAN275-DCL4_Z1_DB-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN275-DCL4_Z1_DB-dPG"
"UK1-PROD01-VLAN224-Dev_App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN224-Dev_App_DMZ-dPG"
"UK1-PROD01-VLAN3405-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3405-DB_Interconnect-dPG"
"UK1-NONPROD01-VLAN3374-DCL4_APP_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3374-DCL4_APP_BE-dPG"
"UK1-PROD01-VLAN226-Dev_DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN226-Dev_DB_DMZ-dPG"
"UK1-PROD01-VLAN3322-BigIP_Web_BE","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3322-BigIP_Web_BE"
"UK1-PROD01-VLAN374-DCL4_Z1_APP_BE","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN374-DCL4_Z1_APP_BE"
"UK1-NONPROD01-VLAN3382-BigIP_Web1","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3382-BigIP_Web1"
"UK1-PROD01-VLAN295-DCL4_Z5_DB-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN295-DCL4_Z5_DB-dPG"
"UK1-PROD01-VLAN3160-NW_Monitoring-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3160-NW_Monitoring-dPG"
"UK1-PROD01-VLAN3498-LBR-03-04_FAILOVER-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3498-LBR-03-04_FAILOVER-dPG"
"UK1-NONPROD01-VLAN409-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN409-DB_Interconnect-dPG"
"UK1-NONPROD01-VLAN103-NW_Dvc_Mgmt-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN103-NW_Dvc_Mgmt-dPG"
"UK1-PROD01-VLAN3378-DCL4_Z2_WEB_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3378-DCL4_Z2_WEB_BE-dPG"
"UK1-NONPROD01-VLAN3324-Dev_BIP_App_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3324-Dev_BIP_App_BE-dPG"
"UK1-NONPROD01-VLAN3290-DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3290-DB_DMZ-dPG"
"UK1-NONPROD01-VLAN3384-BigIP_App_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3384-BigIP_App_BE-dPG"
"UK1-NONPROD01-VLAN3386-BigIP_App1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3386-BigIP_App1-dPG"
"UK1-NONPROD01-VLAN3404-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3404-DB_Interconnect-dPG"
"UK1-PROD01-VLAN3374-DCL4_APP_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3374-DCL4_APP_BE-dPG"
"UK1-PROD01-VLAN3404-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3404-DB_Interconnect-dPG"
"UK1-PROD01-VLAN3120-DevCore1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3120-DevCore1-dPG"
"UK1-NONPROD01-VLAN3320-Dev_BIP_Core_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3320-Dev_BIP_Core_BE-dPG"
"UK1-PROD01-VLAN3382-BigIP_Web1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3382-BigIP_Web1-dPG"
"UK1-NONPROD01-VLAN3380-BigIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3380-BigIP_Web_BE-dPG"
"UK1-PROD01-VLAN3369-DCL4_Z2_APP_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3369-DCL4_Z2_APP_BE-dPG"
"UK1-PROD01-VLAN3497-LBR-03-04_MIRROR-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3497-LBR-03-04_MIRROR-dPG"
"UK1-NONPROD01-VLAN3322-BigIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3322-BigIP_Web_BE-dPG"
"UK1-PROD01-VLAN293-DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN293-DB_DMZ-dPG"
"UK1-PROD01-VLAN3402-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3402-DB_Interconnect-dPG"
"UK1-NONPROD01-VLAN3323-Dev_BIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3323-Dev_BIP_Web_BE-dPG"
"UK1-PROD01-VLAN307-BipIP_Core_Backend-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN307-BipIP_Core_Backend-dPG"
"UK1-NONPROD01-VLAN3130-Core1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3130-Core1-dPG"
"UK1-PROD01-VLAN3131-Core2-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3131-Core2-dPG"
"UK1-PROD01-ALL-LO3-VLAN-NetDeviceOnly-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-ALL-LO3-VLAN-NetDeviceOnly-dPG"
"UK1-PROD01-VLAN3225-Dev_App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3225-Dev_App_DMZ-dPG"
"UK1-NONPROD01-VLAN108-Core-Servers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN108-Core-Servers-dPG"
"UK1-PROD01-VLAN3103-NW_Dvc_Mgmt-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3103-NW_Dvc_Mgmt-dPG"
"UK1-PROD01-VLAN497-LBR-01-02_MIRROR-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN497-LBR-01-02_MIRROR-dPG"
"UK1-PROD01-VLAN3130-Core1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3130-Core1-dPG"
"UK1-PROD01-VLAN3109-CORE_SERVERS_3-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3109-CORE_SERVERS_3-dPG"
"UK1-PROD01-VLAN3161-LO3SV_Server_Monitoring-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3161-LO3SV_Server_Monitoring-dPG"
"UK1-PROD01-ALL-LO1-VLAN-NetDeviceOnly-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-ALL-LO1-VLAN-NetDeviceOnly-dPG"
"UK1-PROD01-VLAN182-MYMEETING_DMZ1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN182-MYMEETING_DMZ1-dPG"
"UK1-PROD01-VLAN3275-DCL4_Z1_DB-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3275-DCL4_Z1_DB-dPG"
"UK1-NONPROD01-VLAN291-DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN291-DB_DMZ-dPG"
"UK1-NONPROD01-VLAN381-BigIP_Web_Backend-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN381-BigIP_Web_Backend-dPG"
"UK1-NONPROD01-VLAN320-Dev_BIP_Core_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN320-Dev_BIP_Core_BE-dPG"
"UK1-NONPROD01-VLAN289-DCL4_Z5_APP_FE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN289-DCL4_Z5_APP_FE-dPG"
"UK1-PROD01-VLAN272-Legacy_App_DB-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN272-Legacy_App_DB-dPG"
"UK1-PROD01-VLAN405-DB_Interconnect-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN405-DB_Interconnect-dPG"
"UK1-NONPROD01-VLAN388-DCL4_Z5_WEB_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN388-DCL4_Z5_WEB_BE-dPG"
"UK1-PROD01-VLAN3380-BigIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3380-BigIP_Web_BE-dPG"
"UK1-PROD01-VLAN105-UCS_KVM_CIMC-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN105-UCS_KVM_CIMC-dPG"
"UK1-PROD01-VLAN3226-Dev_DB_DMZ","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3226-Dev_DB_DMZ"
"UK1-PROD01-VLAN3108-Core_Servers_UCS_Shared-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3108-Core_Servers_UCS_Shared-dPG"
"UK1-PROD01-VLAN297-DCL4_Z2_DB-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN297-DCL4_Z2_DB-dPG"
"UK1-PROD01-VLAN3307-BigIP_Core_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3307-BigIP_Core_BE-dPG"
"UK1-PROD01-VLAN3388-DCL4_Z5_WEB_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3388-DCL4_Z5_WEB_BE-dPG"
"UK1-NONPROD01-VLAN322-Dev_BIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN322-Dev_BIP_Web_BE-dPG"
"UK1-NONPROD01-VLAN3284-App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3284-App_DMZ-dPG"
"UK1-PROD01-VLAN3386-BigIP_App1-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3386-BigIP_App1-dPG"
"UK1-PROD01-VLAN131-Core_Servers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN131-Core_Servers-dPG"
"UK1-NONPROD01-VLAN222-Dev_Web_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN222-Dev_Web_DMZ-dPG"
"UK1-PROD01-VLAN3385-BigIP_App_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3385-BigIP_App_BE-dPG"
"UK1-PROD01-VLAN3106-ESX-Mgmt-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3106-ESX-Mgmt-dPG"
"UK1-PROD01-VLAN160-NW_Monitoring-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN160-NW_Monitoring-dPG"
"UK1-PROD01-VLAN292-DB_DMZ_2-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN292-DB_DMZ_2-dPG"
"UK1-PROD01-VLAN108-Core-Servers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN108-Core-Servers-dPG"
"UK1-NONPROD01-VLAN226-Dev_DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN226-Dev_DB_DMZ-dPG"
"UK1-NONPROD01-VLAN161-Server_Monitoring-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN161-Server_Monitoring-dPG"
"UK1-PROD01-VLAN290-DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN290-DB_DMZ-dPG"
"UK1-PROD01-VLAN285-App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN285-App_DMZ-dPG"
"UK1-NONPROD01-VLAN3222-Dev_Web_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3222-Dev_Web_DMZ-dPG"
"UK1-NUTX-ESX-PRO-DVUplinks-1071","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NUTX-ESX-PRO-DVUplinks-1071"
"UK1-NONPROD01-VLAN3206-Data_AppDMZFront-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3206-Data_AppDMZFront-dPG"
"UK1-PROD01-VLAN3308-BigIP_Core_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3308-BigIP_Core_BE-dPG"
"UK1-NONPROD01-VLAN131-Core_Servers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN131-Core_Servers-dPG"
"UK1-PROD01-VLAN103-NW_Dvc_Mgmt-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN103-NW_Dvc_Mgmt-dPG"
"UK1-NONPROD01-VLAN666-Xray-workers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN666-Xray-workers-dPG"
"UK1-PROD01-VLAN3326-Dev_PQS_BigIP_Core_Backend-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3326-Dev_PQS_BigIP_Core_Backend-dPG"
"UK1-PROD01-VLAN3381-BigIP_Web_BE-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3381-BigIP_Web_BE-dPG"
"UK1-NONPROD01-VLAN285-App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN285-App_DMZ-dPG"
"UK1-NONPROD01-VLAN290-DB_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN290-DB_DMZ-dPG"
"UK1-NONPROD01-VLAN284-App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN284-App_DMZ-dPG"
"UK1-NONPROD01-VLAN224-Dev_App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN224-Dev_App_DMZ-dPG"
"UK1-PROD01-VLAN3284-App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN3284-App_DMZ-dPG"
"UK1-NONPROD01-VLAN3225-Dev_App_DMZ-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3225-Dev_App_DMZ-dPG"
"UK1-PROD01-VLAN130-Core_Servers-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN130-Core_Servers-dPG"
"UK1-NONPROD01-VLAN3161-LO3SV_Server_Monitoring-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-NONPROD01-VLAN3161-LO3SV_Server_Monitoring-dPG"
"UK1-PROD01-VLAN372-BigIP_App_DB_Backend-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/VM VDS/MT VDS/UK1-PROD01-VLAN372-BigIP_App_DB_Backend-dPG"
